Timestamp,Status,Attack Type,MSE
18:24:12,Anomaly,Unknown Anomaly,390.907563
18:24:12,Anomaly,Unknown Anomaly,4043.579832
18:24:12,Anomaly,Unknown Anomaly,72.151276
18:24:12,Anomaly,Unknown Anomaly,3028.621849
18:24:12,Anomaly,Unknown Anomaly,2395.109244
18:24:13,Anomaly,Unknown Anomaly,3172.991597
18:24:13,Anomaly,Unknown Anomaly,3000.151261
18:24:13,Anomaly,Unknown Anomaly,3143.848739
18:24:13,Anomaly,Unknown Anomaly,517.697479
18:24:13,Anomaly,Unknown Anomaly,36095.680672
18:24:13,Anomaly,Unknown Anomaly,36095.680672
18:24:13,Anomaly,Unknown Anomaly,36095.680672
18:24:13,Anomaly,Unknown Anomaly,1599.579832
18:24:14,Anomaly,Unknown Anomaly,48.151298
18:24:14,Anomaly,Unknown Anomaly,523019.579832
18:24:14,Anomaly,Unknown Anomaly,48.151298
18:24:14,Anomaly,Unknown Anomaly,72.151276
18:24:14,Anomaly,Unknown Anomaly,48.151298
18:24:14,Anomaly,Unknown Anomaly,5470.134454
18:24:14,Anomaly,Unknown Anomaly,122.907566
18:24:14,Anomaly,Unknown Anomaly,122.907566
18:24:15,Anomaly,Unknown Anomaly,59.546243
18:24:15,Anomaly,Unknown Anomaly,59.546243
18:24:15,Anomaly,Unknown Anomaly,111.680677
18:24:15,Anomaly,Unknown Anomaly,111.680677
18:24:15,Anomaly,Unknown Anomaly,59.546243
18:24:15,Anomaly,Unknown Anomaly,59.546243
18:24:15,Anomaly,Unknown Anomaly,411.680672
18:24:15,Anomaly,Unknown Anomaly,4518.403361
18:24:16,Anomaly,Unknown Anomaly,48.151298
18:24:16,Anomaly,Unknown Anomaly,100.991603
18:24:16,Anomaly,Unknown Anomaly,48.151298
18:24:16,Anomaly,Unknown Anomaly,48.151298
18:24:16,Anomaly,Unknown Anomaly,48.151298
18:24:16,Anomaly,Unknown Anomaly,36095.680672
18:24:16,Anomaly,Unknown Anomaly,36095.680672
18:24:16,Anomaly,Unknown Anomaly,29528.621849
18:24:16,Anomaly,Unknown Anomaly,48.151298
18:24:17,Anomaly,Unknown Anomaly,36095.680672
18:24:17,Anomaly,Unknown Anomaly,839.579832
18:24:17,Anomaly,Unknown Anomaly,48.151298
18:24:17,Anomaly,Unknown Anomaly,3376270.672269
18:24:17,Anomaly,Unknown Anomaly,59.546243
18:24:17,Anomaly,Unknown Anomaly,59.546243
18:24:17,Anomaly,Unknown Anomaly,59.546243
18:24:17,Anomaly,Unknown Anomaly,295.109244
18:24:18,Anomaly,Unknown Anomaly,295.109244
18:24:18,Anomaly,Unknown Anomaly,59.546243
18:24:18,Anomaly,Unknown Anomaly,10902444.252101
18:24:18,Anomaly,Unknown Anomaly,59.546243
18:24:18,Anomaly,Unknown Anomaly,139159.815126
18:24:18,Anomaly,Unknown Anomaly,59.546243
18:24:18,Anomaly,Unknown Anomaly,59.546243
18:24:18,Anomaly,Unknown Anomaly,59.546243
18:24:19,Anomaly,Unknown Anomaly,3376270.672269
18:24:19,Anomaly,Unknown Anomaly,59.546243
18:24:19,Anomaly,Unknown Anomaly,59.546243
18:24:19,Anomaly,Unknown Anomaly,2164893.327731
18:24:19,Anomaly,Unknown Anomaly,59.546243
18:24:19,Anomaly,Unknown Anomaly,9727114.436975
18:24:19,Anomaly,Unknown Anomaly,59.546243
18:24:20,Anomaly,Unknown Anomaly,139159.815126
18:24:20,Anomaly,Unknown Anomaly,59.546243
18:24:20,Anomaly,Unknown Anomaly,139159.815126
18:24:20,Anomaly,Unknown Anomaly,59.546243
18:24:20,Anomaly,Unknown Anomaly,59.546243
18:24:20,Anomaly,Unknown Anomaly,546337.899160
18:24:20,Anomaly,Unknown Anomaly,59.546243
18:24:20,Anomaly,Unknown Anomaly,59.546243
18:24:21,Anomaly,Unknown Anomaly,59.546243
18:24:21,Anomaly,Unknown Anomaly,59.546243
18:24:21,Anomaly,Unknown Anomaly,59.546243
18:24:21,Anomaly,Unknown Anomaly,10902444.252101
18:24:21,Anomaly,Unknown Anomaly,59.546243
18:24:21,Anomaly,Unknown Anomaly,139159.815126
18:24:21,Anomaly,Unknown Anomaly,59.546243
18:24:21,Anomaly,Unknown Anomaly,59.546243
18:24:22,Anomaly,Unknown Anomaly,59.546243
18:24:22,Anomaly,Unknown Anomaly,4855714.436975
18:24:22,Anomaly,Unknown Anomaly,59.546243
18:24:22,Anomaly,Unknown Anomaly,59.546243
18:24:22,Anomaly,Unknown Anomaly,59.546243
18:24:22,Anomaly,Unknown Anomaly,59.546243
18:24:22,Anomaly,Unknown Anomaly,32280242.907563
18:24:22,Anomaly,Unknown Anomaly,59.546243
18:24:23,Anomaly,Unknown Anomaly,139159.815126
18:24:23,Anomaly,Unknown Anomaly,59.546243
18:24:23,Anomaly,Unknown Anomaly,139159.815126
18:24:23,Anomaly,Unknown Anomaly,59.546243
18:24:23,Anomaly,Unknown Anomaly,139159.815126
18:24:23,Anomaly,Unknown Anomaly,59.546243
18:24:23,Anomaly,Unknown Anomaly,139159.815126
18:24:23,Anomaly,Unknown Anomaly,59.546243
18:24:23,Anomaly,Unknown Anomaly,59.546243
18:24:24,Anomaly,Unknown Anomaly,59.546243
18:24:24,Anomaly,Unknown Anomaly,1221582.403361
18:24:24,Anomaly,Unknown Anomaly,59.546243
18:24:24,Anomaly,Unknown Anomaly,59.546243
18:24:24,Anomaly,Unknown Anomaly,59.546243
18:24:24,Anomaly,Unknown Anomaly,59.546243
18:24:24,Anomaly,Unknown Anomaly,59.546243
18:24:24,Anomaly,Unknown Anomaly,4855714.436975
18:24:25,Anomaly,Unknown Anomaly,59.546243
18:24:25,Anomaly,Unknown Anomaly,59.546243
18:24:25,Anomaly,Unknown Anomaly,1221582.403361
18:24:25,Anomaly,Unknown Anomaly,59.546243
18:24:25,Anomaly,Unknown Anomaly,59.546243
18:24:25,Anomaly,Unknown Anomaly,59.546243
18:24:25,Anomaly,Unknown Anomaly,59.546243
18:24:26,Anomaly,Unknown Anomaly,59.546243
18:24:26,Anomaly,Unknown Anomaly,59.546243
18:24:26,Anomaly,Unknown Anomaly,59.546243
18:24:26,Anomaly,Unknown Anomaly,59.546243
18:24:26,Anomaly,Unknown Anomaly,59.546243
18:24:26,Anomaly,Unknown Anomaly,59.546243
18:24:26,Anomaly,Unknown Anomaly,59.546243
18:24:26,Anomaly,Unknown Anomaly,59.546243
18:24:26,Anomaly,Unknown Anomaly,59.546243
18:24:27,Anomaly,Unknown Anomaly,59.546243
18:24:27,Anomaly,Unknown Anomaly,59.546243
18:24:27,Anomaly,Unknown Anomaly,59215341.327731
18:24:27,Anomaly,Unknown Anomaly,59.546243
18:24:27,Anomaly,Unknown Anomaly,59.546243
18:24:27,Anomaly,Unknown Anomaly,59.546243
18:24:27,Anomaly,Unknown Anomaly,59.546243
18:24:27,Anomaly,Unknown Anomaly,59.546243
18:24:28,Anomaly,Unknown Anomaly,59.546243
18:24:28,Anomaly,Unknown Anomaly,59.546243
18:24:28,Anomaly,Unknown Anomaly,8618801.226891
18:24:28,Anomaly,Unknown Anomaly,59.546243
18:24:28,Anomaly,Unknown Anomaly,546337.899160
18:24:28,Anomaly,Unknown Anomaly,59.546243
18:24:28,Anomaly,Unknown Anomaly,59.546243
18:24:28,Anomaly,Unknown Anomaly,59.546243
18:24:29,Anomaly,Unknown Anomaly,59.546243
18:24:29,Anomaly,Unknown Anomaly,59.546243
18:24:29,Anomaly,Unknown Anomaly,8618801.226891
18:24:29,Anomaly,Unknown Anomaly,59.546243
18:24:29,Anomaly,Unknown Anomaly,1221582.403361
18:24:29,Anomaly,Unknown Anomaly,59.546243
18:24:29,Anomaly,Unknown Anomaly,59.546243
18:24:30,Anomaly,Unknown Anomaly,59.546243
18:24:30,Anomaly,Unknown Anomaly,4855714.436975
18:24:30,Anomaly,Unknown Anomaly,59.546243
18:24:30,Anomaly,Unknown Anomaly,59.546243
18:24:30,Anomaly,Unknown Anomaly,3376270.672269
18:24:30,Anomaly,Unknown Anomaly,59.546243
18:24:30,Anomaly,Unknown Anomaly,546337.899160
18:24:30,Anomaly,Unknown Anomaly,59.546243
18:24:30,Anomaly,Unknown Anomaly,59.546243
18:24:31,Anomaly,Unknown Anomaly,546337.899160
